C,gamma,class_weight,mean_accuracy,mean_invalid_recall,mean_valid_recall,custom_score
10,scale,None,0.9824414715719063,0.9666666666666666,1.0,0.98
10,scale,"{'INVALID': 1.5, 'VALID': 1.0}",0.9824414715719063,0.9666666666666666,1.0,0.98
10,0.1,balanced,0.9824414715719063,0.9666666666666666,1.0,0.98
10,scale,balanced,0.9802436693741041,0.9625,1.0,0.9775
30,scale,None,0.9802436693741041,0.9625,1.0,0.9775
30,scale,balanced,0.9802436693741041,0.9625,1.0,0.9775
30,scale,"{'INVALID': 1.5, 'VALID': 1.0}",0.9802436693741041,0.9625,1.0,0.9775
100,scale,None,0.9802436693741041,0.9625,1.0,0.9775
100,scale,balanced,0.9802436693741041,0.9625,1.0,0.9775
100,scale,"{'INVALID': 1.5, 'VALID': 1.0}",0.9802436693741041,0.9625,1.0,0.9775
10,0.1,"{'INVALID': 1.5, 'VALID': 1.0}",0.9802436693741041,0.9625,1.0,0.9775
3,scale,None,0.9671524128045867,0.9708333333333332,0.9632135306553911,0.9677854122621563
3,scale,balanced,0.9649546106067846,0.9666666666666666,0.9632135306553911,0.9652854122621564
1,scale,None,0.958385093167702,0.9791666666666666,0.9354122621564482,0.9616649048625792
1,scale,"{'INVALID': 1.5, 'VALID': 1.0}",0.9561872909698996,0.9833333333333334,0.9261099365750528,0.9604439746300211
3,scale,"{'INVALID': 1.5, 'VALID': 1.0}",0.958361204013378,0.9708333333333332,0.9446088794926004,0.9603435517970401
1,scale,balanced,0.9561872909698999,0.9708333333333334,0.9400634249471459,0.9585253699788584
10,0.03,balanced,0.9473960821786909,0.9583333333333333,0.9354122621564482,0.9491649048625792
10,0.03,"{'INVALID': 1.5, 'VALID': 1.0}",0.9430004777830865,0.9625,0.9214587737843551,0.9460835095137421
10,0.01,"{'INVALID': 1.5, 'VALID': 1.0}",0.9408504538939321,0.9708333333333334,0.9076109936575053,0.9455443974630022
10,0.01,balanced,0.9408504538939322,0.9583333333333334,0.9215644820295983,0.9436257928118392
10,0.005,balanced,0.9298614429049211,0.9541666666666668,0.9029598308668076,0.9336839323467232
10,0.001,balanced,0.9254658385093167,0.9583333333333334,0.8890063424947148,0.9306025369978859
