C,gamma,class_weight,accuracy,INVALID_precision,INVALID_recall,INVALID_f1,VALID_precision,VALID_recall,VALID_f1,INVALID_to_VALID,VALID_to_INVALID
1.0,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0
1.0,1,balanced,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0
10.0,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0
10.0,1,balanced,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0
100.0,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0
100.0,1,balanced,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0
0.1,0.001,,0.6090909090909091,0.6090909090909091,1.0,0.7570621468926554,0.0,0.0,0.0,0,43
0.1,1,,0.6090909090909091,0.6090909090909091,1.0,0.7570621468926554,0.0,0.0,0.0,0,43
0.1,0.01,,0.8818181818181818,0.875,0.9402985074626866,0.9064748201438849,0.8947368421052632,0.7906976744186046,0.8395061728395061,4,9
10.0,scale,balanced,0.9545454545454546,1.0,0.9253731343283582,0.9612403100775194,0.8958333333333334,1.0,0.945054945054945,5,0
0.1,scale,,0.9,0.9117647058823529,0.9253731343283582,0.9185185185185185,0.8809523809523809,0.8604651162790697,0.8705882352941177,5,6
0.1,0.1,,0.9,0.9117647058823529,0.9253731343283582,0.9185185185185185,0.8809523809523809,0.8604651162790697,0.8705882352941177,5,6
1.0,0.001,,0.8727272727272727,0.8732394366197183,0.9253731343283582,0.8985507246376812,0.8717948717948718,0.7906976744186046,0.8292682926829268,5,9
10.0,scale,,0.9454545454545454,1.0,0.9104477611940298,0.953125,0.8775510204081632,1.0,0.9347826086956522,6,0
100.0,scale,,0.9454545454545454,1.0,0.9104477611940298,0.953125,0.8775510204081632,1.0,0.9347826086956522,6,0
100.0,scale,balanced,0.9454545454545454,1.0,0.9104477611940298,0.953125,0.8775510204081632,1.0,0.9347826086956522,6,0
1.0,scale,,0.9181818181818182,0.953125,0.9104477611940298,0.9312977099236641,0.8695652173913043,0.9302325581395349,0.898876404494382,6,3
10.0,0.1,,0.9363636363636364,1.0,0.8955223880597015,0.9448818897637795,0.86,1.0,0.9247311827956989,7,0
10.0,0.1,balanced,0.9363636363636364,1.0,0.8955223880597015,0.9448818897637795,0.86,1.0,0.9247311827956989,7,0
100.0,0.1,,0.9363636363636364,1.0,0.8955223880597015,0.9448818897637795,0.86,1.0,0.9247311827956989,7,0
100.0,0.1,balanced,0.9363636363636364,1.0,0.8955223880597015,0.9448818897637795,0.86,1.0,0.9247311827956989,7,0
1.0,0.1,,0.9090909090909091,0.9523809523809523,0.8955223880597015,0.9230769230769231,0.851063829787234,0.9302325581395349,0.8888888888888888,7,3
1.0,scale,balanced,0.9090909090909091,0.9523809523809523,0.8955223880597015,0.9230769230769231,0.851063829787234,0.9302325581395349,0.8888888888888888,7,3
1.0,0.1,balanced,0.9090909090909091,0.9523809523809523,0.8955223880597015,0.9230769230769231,0.851063829787234,0.9302325581395349,0.8888888888888888,7,3
100.0,0.01,,0.9090909090909091,0.9523809523809523,0.8955223880597015,0.9230769230769231,0.851063829787234,0.9302325581395349,0.8888888888888888,7,3
10.0,0.01,,0.8909090909090909,0.9230769230769231,0.8955223880597015,0.9090909090909091,0.8444444444444444,0.8837209302325582,0.8636363636363636,7,5
1.0,0.01,,0.8818181818181818,0.9090909090909091,0.8955223880597015,0.9022556390977443,0.8409090909090909,0.8604651162790697,0.8505747126436781,7,6
10.0,0.001,,0.8818181818181818,0.9090909090909091,0.8955223880597015,0.9022556390977443,0.8409090909090909,0.8604651162790697,0.8505747126436781,7,6
100.0,0.01,balanced,0.9,0.9666666666666667,0.8656716417910447,0.9133858267716536,0.82,0.9534883720930233,0.8817204301075269,9,2
100.0,0.001,,0.8636363636363636,0.90625,0.8656716417910447,0.8854961832061069,0.8043478260869565,0.8604651162790697,0.8314606741573034,9,6
0.1,scale,balanced,0.8636363636363636,0.9193548387096774,0.8507462686567164,0.8837209302325582,0.7916666666666666,0.8837209302325582,0.8351648351648352,10,5
0.1,0.1,balanced,0.8636363636363636,0.9193548387096774,0.8507462686567164,0.8837209302325582,0.7916666666666666,0.8837209302325582,0.8351648351648352,10,5
1.0,0.01,balanced,0.8545454545454545,0.9180327868852459,0.835820895522388,0.875,0.7755102040816326,0.8837209302325582,0.8260869565217391,11,5
10.0,0.01,balanced,0.8545454545454545,0.9180327868852459,0.835820895522388,0.875,0.7755102040816326,0.8837209302325582,0.8260869565217391,11,5
100.0,0.001,balanced,0.8545454545454545,0.9180327868852459,0.835820895522388,0.875,0.7755102040816326,0.8837209302325582,0.8260869565217391,11,5
10.0,0.001,balanced,0.8363636363636363,0.9152542372881356,0.8059701492537313,0.8571428571428571,0.7450980392156863,0.8837209302325582,0.8085106382978723,13,5
0.1,0.01,balanced,0.8090909090909091,0.896551724137931,0.7761194029850746,0.832,0.7115384615384616,0.8604651162790697,0.7789473684210526,15,6
1.0,0.001,balanced,0.8090909090909091,0.9107142857142857,0.7611940298507462,0.8292682926829268,0.7037037037037037,0.8837209302325582,0.7835051546391752,16,5
0.1,1,balanced,0.5181818181818182,1.0,0.208955223880597,0.345679012345679,0.4479166666666667,1.0,0.6187050359712231,53,0
0.1,0.001,balanced,0.39090909090909093,0.0,0.0,0.0,0.39090909090909093,1.0,0.5620915032679739,67,0
