sno,timestamp,swing_count,ax,ay,az,gx,gy,gz,speed,impact,duration,validity,stroke_type,intensity
1,27172,1,0.52,-0.59,-0.99,1.46,-36.75,-11.29,49.35,41.19,0.62,INVALID,NONE,STRONG
2,38912,2,0.57,-0.61,-1.00,45.37,-28.76,-11.60,61.78,34.95,0.65,INVALID,NONE,STRONG
3,42490,3,0.56,-0.56,-0.53,40.79,8.86,2.98,61.35,35.62,0.82,INVALID,NONE,STRONG
4,44488,4,0.57,-0.63,-0.94,33.84,-5.34,-9.10,60.64,36.42,0.82,INVALID,NONE,STRONG
5,49087,5,0.69,-0.45,-0.69,36.40,-25.77,-38.24,57.98,35.36,0.59,INVALID,NONE,STRONG
6,69034,6,0.22,-0.52,-1.38,-1.22,-28.70,-38.00,56.45,35.21,0.67,INVALID,NONE,STRONG
7,71477,7,0.58,-0.57,-0.97,16.59,-13.76,7.49,27.78,35.04,0.90,INVALID,NONE,STRONG
8,78857,8,0.12,-0.63,-0.88,1.52,1.12,43.16,65.36,37.54,0.45,INVALID,NONE,STRONG
9,80706,9,0.50,-0.38,-0.44,-35.61,17.71,-29.52,72.94,35.87,0.63,INVALID,NONE,STRONG
10,82410,10,0.67,-0.49,-0.54,-30.73,26.30,-28.12,71.95,38.04,0.51,INVALID,NONE,STRONG
11,85515,11,0.42,-0.42,-0.86,-48.35,-12.05,-26.72,74.24,39.64,0.54,INVALID,NONE,STRONG
12,87157,12,0.43,-0.66,-0.14,29.15,-33.70,23.16,75.79,39.26,0.58,INVALID,NONE,STRONG
13,89184,13,0.28,-0.57,-0.58,24.45,50.14,-20.44,77.44,37.35,0.68,INVALID,NONE,STRONG
14,91017,14,0.50,-0.63,-0.83,-7.62,-28.94,10.96,72.67,37.32,0.57,INVALID,NONE,STRONG
15,92776,15,0.53,-0.66,-0.60,14.70,-12.84,31.57,73.76,37.94,0.59,INVALID,NONE,STRONG
16,94770,16,0.08,-0.52,-0.18,52.07,-6.68,12.37,75.97,38.87,0.73,INVALID,NONE,STRONG
17,96417,17,0.20,-0.57,-0.35,20.98,38.86,30.05,77.65,39.20,0.58,INVALID,NONE,STRONG
18,98112,18,0.44,-0.57,-0.30,45.00,22.40,-6.60,75.23,38.47,0.50,INVALID,NONE,STRONG
19,99831,19,-0.60,-0.34,-1.18,36.16,28.44,-10.44,73.08,40.75,0.45,INVALID,NONE,STRONG
20,104876,20,-0.78,-0.07,-0.87,53.96,-16.75,15.48,72.81,38.27,0.43,INVALID,NONE,STRONG
21,106697,21,0.05,-0.58,-0.49,-8.60,42.83,-32.45,75.50,38.53,0.50,INVALID,NONE,STRONG
22,108493,22,0.46,-0.67,-0.28,-11.77,51.91,1.69,64.96,38.64,0.63,INVALID,NONE,STRONG
23,111792,23,-0.47,-0.36,-0.50,-0.55,33.25,-43.61,69.27,37.48,0.48,INVALID,NONE,STRONG
24,113624,24,0.28,-0.74,-0.36,48.90,18.62,18.83,69.69,39.26,0.58,INVALID,NONE,STRONG
25,122091,25,0.05,-0.54,0.09,19.70,7.46,47.79,70.88,40.91,0.97,INVALID,NONE,STRONG
26,125325,26,0.37,-0.26,-1.72,-5.00,-37.48,28.16,62.40,33.78,0.81,INVALID,NONE,STRONG
27,129105,27,0.75,-0.26,-0.69,-37.19,17.83,28.89,70.28,31.60,0.67,INVALID,NONE,STRONG
28,131026,28,0.57,-0.65,-0.94,0.67,30.63,-6.17,70.19,36.62,0.71,INVALID,NONE,STRONG
29,152217,29,0.72,-0.33,-1.16,-17.44,31.18,-45.99,71.62,36.92,0.61,INVALID,NONE,STRONG
30,154667,30,0.26,-0.22,-1.53,-36.58,-32.42,21.82,57.31,33.27,1.03,INVALID,NONE,STRONG
31,156415,31,0.66,-0.19,-0.77,49.94,-17.78,-23.43,67.84,33.21,0.75,INVALID,NONE,STRONG
32,160409,32,0.54,-0.11,-0.67,-20.30,-25.22,42.85,66.45,37.03,0.85,INVALID,NONE,STRONG
33,162945,33,0.83,-0.04,-1.31,18.35,-2.78,-31.23,61.18,33.71,0.76,INVALID,NONE,STRONG
34,166778,34,-0.14,-0.28,-1.37,-5.06,4.11,16.08,66.25,37.32,0.52,INVALID,NONE,STRONG
35,168559,35,-0.52,-0.34,-1.12,-18.41,-13.21,-49.95,70.22,37.46,0.50,INVALID,NONE,STRONG
36,173291,36,-0.25,-0.36,-1.55,1.77,-11.20,-0.87,68.72,38.99,0.50,INVALID,NONE,STRONG
37,181777,37,-0.01,-0.54,-0.74,43.42,-6.99,37.18,64.67,38.85,0.50,INVALID,NONE,STRONG
38,199427,38,0.74,-0.44,-1.17,27.50,-36.20,20.17,23.28,36.06,1.12,INVALID,NONE,STRONG
39,202880,39,0.32,-0.69,-0.88,49.45,-27.05,-14.16,23.11,37.35,0.95,INVALID,NONE,STRONG
40,206341,40,-0.10,-0.56,-0.18,39.21,-14.06,37.49,71.47,38.37,0.86,INVALID,NONE,STRONG
41,211256,41,-0.48,-0.20,-0.97,10.79,-58.15,0.48,72.82,37.21,0.49,INVALID,NONE,STRONG
42,212915,42,0.30,-0.05,-1.78,-20.12,29.35,-27.63,72.65,35.53,0.49,INVALID,NONE,STRONG
43,220107,43,-0.22,0.05,-1.90,13.54,-19.31,40.17,73.26,37.37,0.43,INVALID,NONE,STRONG
44,234688,44,0.60,-0.61,-0.86,34.21,-6.68,-20.01,15.64,25.33,0.30,INVALID,NONE,STRONG
45,241753,45,-0.09,0.08,-1.31,-52.38,-12.72,25.72,71.28,38.38,0.49,INVALID,NONE,STRONG
46,250414,46,0.82,-0.21,-1.04,15.61,-6.26,-24.52,70.94,35.34,0.56,INVALID,NONE,STRONG
47,252246,47,-0.75,-0.16,-1.02,-34.45,-19.25,24.99,69.12,35.93,0.54,INVALID,NONE,STRONG
48,254067,48,-0.35,-0.03,-1.01,-34.08,-28.09,9.38,71.79,38.21,0.49,INVALID,NONE,STRONG
49,255928,49,-0.22,-0.19,-0.30,-31.83,-14.49,-33.98,73.36,38.14,0.45,INVALID,NONE,STRONG
50,257862,50,0.27,-0.08,-1.56,29.82,35.82,-7.02,68.40,37.05,0.48,INVALID,NONE,STRONG
51,261820,51,0.20,-0.20,-1.20,-39.21,19.23,-29.89,68.81,37.71,0.54,INVALID,NONE,STRONG
52,263664,52,0.09,0.02,-1.96,-44.39,7.95,-31.48,70.90,35.23,0.61,INVALID,NONE,STRONG
53,265477,53,0.49,0.13,-1.56,1.46,25.27,-33.43,74.95,36.99,0.53,INVALID,NONE,STRONG
54,269877,54,-0.36,-0.31,-1.15,29.15,-18.94,16.33,67.78,36.70,0.57,INVALID,NONE,STRONG
55,271584,55,-0.73,-0.09,-1.32,3.17,-25.04,-18.98,70.34,36.67,0.55,INVALID,NONE,STRONG
56,274842,56,-0.18,0.02,-1.64,-15.67,-27.60,4.99,71.03,39.15,0.45,INVALID,NONE,STRONG
57,276580,57,0.39,-0.39,-0.90,34.70,14.53,33.16,69.98,37.21,0.68,INVALID,NONE,STRONG
58,281849,58,0.63,-0.52,-0.91,13.60,-19.61,50.84,67.48,38.96,0.73,INVALID,NONE,STRONG
59,283976,59,0.10,-0.66,-0.06,49.63,-13.45,21.15,72.27,39.21,1.19,INVALID,NONE,STRONG
60,285481,60,0.27,-0.51,0.87,-9.63,32.46,-14.04,51.13,37.41,0.49,INVALID,NONE,STRONG
61,290303,61,0.03,-0.07,-0.44,-4.51,-22.17,20.78,72.18,39.57,0.50,INVALID,NONE,STRONG
62,292088,62,0.21,-0.43,-0.00,-45.18,20.33,-11.90,64.33,37.74,0.42,INVALID,NONE,STRONG
63,293683,63,0.69,-0.30,-0.57,24.15,21.55,34.87,61.24,38.55,0.52,INVALID,NONE,STRONG
64,296246,64,0.34,-0.42,-1.21,-22.80,15.88,-49.89,61.12,35.33,0.62,INVALID,NONE,STRONG
65,297894,65,0.47,-0.50,-1.09,-15.55,50.14,-9.83,64.24,38.03,0.59,INVALID,NONE,STRONG
66,299423,66,-0.02,-0.68,-0.20,-35.98,-9.00,27.24,64.36,36.86,0.48,INVALID,NONE,STRONG
67,301041,67,0.07,-0.74,-0.34,-6.58,-53.88,-3.00,64.68,37.58,0.45,INVALID,NONE,STRONG
68,304571,68,-0.54,-0.35,-0.71,-33.78,38.86,-10.56,68.98,37.47,0.48,INVALID,NONE,STRONG
69,307751,69,-0.09,-0.06,-1.96,-20.43,9.66,-46.17,62.62,37.41,0.54,INVALID,NONE,STRONG
70,309601,70,0.02,-0.41,-1.56,14.76,1.85,-17.76,67.70,34.43,0.57,INVALID,NONE,STRONG
71,311760,71,0.03,-0.54,-1.49,19.02,-35.34,24.19,67.90,34.73,0.52,INVALID,NONE,STRONG
72,315799,72,0.67,-0.30,-0.66,55.37,-19.92,0.54,68.05,36.73,0.77,INVALID,NONE,STRONG
73,317685,73,0.68,-0.29,-0.92,53.17,22.83,-3.98,69.20,38.21,0.56,INVALID,NONE,STRONG
74,319619,74,0.09,-0.34,-0.73,-44.27,5.88,34.32,68.89,37.38,0.67,INVALID,NONE,STRONG
75,322117,75,-0.44,-0.21,-0.44,55.24,7.34,13.58,77.55,38.06,0.85,INVALID,NONE,STRONG
76,324903,76,-0.20,-0.30,-0.16,30.06,15.94,43.58,69.61,38.20,0.53,INVALID,NONE,STRONG
77,326609,77,0.19,0.01,-1.60,0.67,-7.78,-39.34,71.18,38.16,0.53,INVALID,NONE,STRONG
78,338845,78,0.07,-0.12,-1.66,24.27,28.93,-18.61,66.22,38.04,0.56,INVALID,NONE,STRONG
79,340512,79,0.53,-0.44,-1.14,40.49,23.80,-18.79,65.44,37.17,0.58,INVALID,NONE,STRONG
80,342093,80,0.25,-0.26,-1.68,20.12,-31.20,34.50,59.66,37.24,0.53,INVALID,NONE,STRONG
81,343623,81,-0.69,0.03,-1.04,-7.87,36.12,16.39,67.32,36.71,1.01,INVALID,NONE,STRONG
82,345823,82,0.14,-0.85,-0.89,39.39,-25.89,-3.37,64.41,36.32,1.16,INVALID,NONE,STRONG
83,348910,83,-0.67,-0.32,-1.22,14.63,25.21,-14.65,65.94,38.00,0.49,INVALID,NONE,STRONG
84,350492,84,-0.52,-0.39,-1.30,27.32,20.69,-32.57,65.08,37.92,0.48,INVALID,NONE,STRONG
85,352034,85,-0.17,-0.20,-1.06,15.79,-46.07,24.68,67.70,37.32,0.49,INVALID,NONE,STRONG
86,355095,86,0.59,0.10,-0.91,21.52,10.57,-47.33,65.15,32.38,0.57,INVALID,NONE,STRONG
