timestamp,ax,ay,az,gx,gy,gz,speed,impact,duration
6054,0.36,0.60,-0.58,-10.28,-67.25,34.25,54.08,38.53,0.58
8888,0.60,0.34,-0.31,58.23,2.87,-8.47,55.44,37.45,0.67
32918,0.49,-0.23,0.41,212.40,205.47,-17.45,35.52,15.14,2.27
33742,0.34,0.55,-0.35,86.30,-87.63,22.13,55.44,35.43,0.42
35970,0.27,0.53,-0.68,43.42,-6.78,5.54,55.44,35.12,0.51
37867,0.05,0.67,-0.53,76.49,-57.66,-18.85,55.44,34.11,0.59
44229,0.54,-0.35,0.69,118.98,-44.38,168.18,55.40,40.93,5.65
44867,0.41,0.11,-0.96,-93.48,-70.59,67.99,54.08,35.96,0.23
47821,0.46,0.17,-0.95,-65.69,-99.33,28.01,55.44,34.82,0.46
50787,0.03,0.44,-1.19,70.23,-43.62,-32.63,55.44,37.22,0.48
53235,0.36,0.48,-0.52,52.11,25.48,31.19,55.44,37.68,0.51
55206,0.21,0.56,-0.63,67.38,-76.71,32.06,55.44,38.66,0.54
56903,-0.35,0.38,-0.98,7.77,-6.20,-8.87,55.44,35.97,0.48
58675,-0.39,-0.05,-1.32,-45.96,97.40,-53.05,55.44,34.09,0.54
60121,-0.63,0.03,-0.92,-77.59,53.59,-21.95,55.44,35.08,0.45
61739,-0.39,0.32,-1.16,-33.25,53.19,-14.64,55.44,34.94,0.48
63513,0.60,-0.38,-0.30,41.54,-78.22,43.65,52.42,34.66,0.62
65687,0.49,-0.42,-0.73,-16.09,5.26,6.81,48.72,33.56,0.51
67674,0.41,-0.28,-0.90,99.91,9.09,16.92,48.53,32.40,0.34
69952,0.66,-0.23,-0.58,-11.54,-56.02,41.54,47.81,31.54,0.58
71910,-0.06,-0.52,-0.36,-153.82,-122.28,-58.92,52.61,34.87,0.50
76066,0.23,-0.39,1.38,100.88,110.02,21.13,43.79,33.69,2.89
76755,0.46,-0.51,-0.72,25.93,-51.40,23.39,46.03,32.01,0.29
79294,0.57,0.34,-1.13,-35.42,-40.78,-1.52,47.08,25.69,0.53
82865,0.63,0.15,-0.90,-51.38,-18.93,-10.76,41.75,27.19,0.46
86297,0.45,0.53,-0.52,40.86,-48.77,39.89,54.08,35.71,0.60
88735,0.20,0.43,-0.69,82.36,23.10,-23.24,55.40,36.35,0.40
90444,0.41,0.54,-0.68,134.02,-187.94,-60.45,55.44,34.36,0.47
92245,0.28,0.48,-0.58,33.66,-159.66,46.84,55.44,34.37,0.45

