timestamp,ax,ay,az,gx,gy,gz,speed,impact,duration
94168,0.60,-0.18,-0.50,22.57,-116.40,52.01,55.44,33.49,0.44
96243,0.40,0.52,-0.26,116.10,-0.57,7.12,54.35,33.79,0.51
97949,0.20,0.55,-0.20,169.96,-192.43,17.61,55.44,35.40,0.52
99815,0.35,0.32,0.43,133.76,62.56,-29.26,55.44,37.42,0.48
101441,0.53,0.27,-0.05,75.35,144.85,-43.40,55.40,36.86,0.58
102976,0.32,0.60,-0.36,147.30,-94.45,-3.24,55.44,34.65,0.55
104615,0.32,0.49,-0.02,104.47,17.47,-3.17,54.08,36.42,0.52
107509,-0.17,-0.68,-0.08,-51.22,2.07,36.27,55.44,34.70,1.93
108624,-0.30,0.40,1.20,-146.25,17.39,-29.49,50.25,36.33,0.40
110794,0.25,-0.56,-0.24,-154.88,-37.10,11.63,50.25,41.92,0.74
112691,0.25,-0.58,-0.09,-197.68,-33.97,14.30,50.25,43.82,0.92
114410,0.18,-0.60,-0.56,-110.70,-56.42,-4.36,50.25,42.36,0.94
116283,0.53,-0.31,0.22,-101.54,250.42,62.51,50.25,37.56,1.13
124738,0.47,-0.11,-0.26,-287.87,47.86,87.21,50.29,44.95,8.05
125652,0.39,0.54,1.40,-135.01,250.42,-20.54,50.29,44.11,0.50
127970,0.50,-0.04,-0.83,77.61,-45.05,12.69,55.44,38.34,1.88
157891,0.39,0.41,-0.93,81.52,12.15,-5.63,55.44,34.90,23.62
159778,0.44,0.48,-0.42,115.47,-36.96,29.14,54.15,34.16,0.60
161287,-0.23,0.57,-0.75,86.63,-22.81,-13.50,55.44,36.95,0.54
163302,0.46,0.36,-0.97,179.01,-27.83,65.89,55.44,39.40,0.54
165411,0.33,-0.33,-1.26,-20.38,-23.52,-12.70,37.51,22.53,0.34
168066,0.68,-0.08,-1.12,90.01,-72.98,34.98,40.19,27.22,0.53
169539,0.36,0.27,2.29,-287.87,18.93,5.87,34.63,15.90,1.02
172780,0.46,-0.32,-1.23,9.10,-74.73,23.07,36.20,17.58,0.36
175095,0.56,-0.18,0.16,-141.07,34.85,1.73,36.93,20.28,0.41
180142,0.47,-0.46,-0.05,-106.97,-21.55,23.44,37.89,22.20,0.46
182320,0.57,-0.02,0.09,-128.25,-15.43,-6.80,36.60,25.16,0.38
184880,0.26,-0.49,0.11,-54.79,44.31,52.73,55.35,37.35,0.81
188420,-0.08,-0.67,0.45,-116.12,32.35,67.96,54.08,30.12,1.83
190140,0.22,-0.64,-0.29,-127.40,-13.72,17.76,48.50,32.52,1.17
191966,0.25,-0.17,0.88,-26.72,68.41,-43.46,50.25,33.57,0.42
194791,0.60,-0.22,-0.43,-31.63,-47.53,30.24,54.08,35.88,0.56
196614,0.48,-0.34,0.52,-79.54,31.73,41.69,42.28,30.15,0.55
198497,0.63,0.10,-0.01,-124.88,-22.69,0.14,46.07,31.64,0.36
200576,0.59,0.03,0.15,-66.13,-49.73,46.33,48.97,33.57,0.32
205520,0.64,0.17,-0.74,81.39,-221.79,83.02,55.44,36.65,3.59
207773,0.51,-0.36,-0.69,6.13,-19.44,50.60,43.22,33.70,0.50
210596,0.65,0.25,-0.74,51.79,-21.86,34.93,47.84,36.14,0.54
215045,0.01,-0.66,1.28,-51.73,-6.63,-20.96,55.44,36.94,2.82
216081,0.52,0.41,-0.71,104.56,-55.45,36.85,47.26,35.22,0.51
218215,0.58,0.04,-1.09,36.65,-112.23,7.97,50.09,32.51,0.54
222945,-0.11,0.47,-1.19,15.08,-7.07,-21.53,55.44,36.98,0.96
231700,-0.21,0.44,-1.25,-9.03,20.17,-40.11,55.44,37.13,0.48
233752,-0.12,0.38,-1.12,-48.82,139.60,-19.65,55.44,35.23,0.63
236084,-0.52,0.40,0.09,60.17,-57.37,-8.69,55.44,35.16,0.85
237817,0.13,0.38,-1.13,-0.80,56.14,-22.21,55.44,34.76,0.54
239923,0.07,0.54,-0.96,5.30,35.38,-30.73,55.44,36.91,0.52
242137,0.32,0.49,-1.15,50.12,43.31,34.08,55.44,35.17,0.51
244413,0.12,-0.62,-0.79,-35.90,-67.93,3.82,42.15,31.46,0.90
247899,-0.52,0.16,-0.09,133.19,109.83,161.92,55.40,38.40,0.43
249520,-0.32,-0.40,1.13,-102.49,-5.07,21.21,55.40,39.88,0.89
250558,0.32,-0.61,-0.72,-38.03,-75.95,42.03,32.46,15.82,0.48
