speed,impact,duration,power,efficiency,ml_prediction,rule_prediction,final_prediction,player_avg_speed,pro_avg_speed,gap_speed,player_avg_impact,pro_avg_impact,gap_impact,player_avg_duration,pro_avg_duration,gap_duration,player_avg_power,pro_avg_power,gap_power,player_avg_efficiency,pro_avg_efficiency,gap_efficiency,improvement_suggestions
55.44,33.49,0.44,1856.6856,76.11346337849233,MEDIUM,MEDIUM,MEDIUM,50.02,53.51,-3.49,33.87,47.35,-13.48,1.36,0.38,-0.98,1729.64,2532.58,-802.94,54.32,69.01,-14.69,Improve smash timing and impact force | Improve shot execution efficiency and control | Reduce swing execution time for faster response
54.35,33.79,0.51,1836.4865,66.25477204946657,MEDIUM,MEDIUM,MEDIUM,50.02,53.51,-3.49,33.87,47.35,-13.48,1.36,0.38,-0.98,1729.64,2532.58,-802.94,54.32,69.01,-14.69,Improve smash timing and impact force | Improve shot execution efficiency and control | Reduce swing execution time for faster response
55.44,35.4,0.52,1962.5759999999998,68.07679216001507,MEDIUM,MEDIUM,MEDIUM,50.02,53.51,-3.49,33.87,47.35,-13.48,1.36,0.38,-0.98,1729.64,2532.58,-802.94,54.32,69.01,-14.69,Improve smash timing and impact force | Improve shot execution efficiency and control | Reduce swing execution time for faster response
55.44,37.42,0.48,2074.5648,77.95817092047726,MEDIUM,STRONG,MEDIUM,50.02,53.51,-3.49,33.87,47.35,-13.48,1.36,0.38,-0.98,1729.64,2532.58,-802.94,54.32,69.01,-14.69,Improve smash timing and impact force | Improve shot execution efficiency and control | Reduce swing execution time for faster response
55.4,36.86,0.58,2042.0439999999999,63.55161456618178,MEDIUM,STRONG,MEDIUM,50.02,53.51,-3.49,33.87,47.35,-13.48,1.36,0.38,-0.98,1729.64,2532.58,-802.94,54.32,69.01,-14.69,Improve smash timing and impact force | Improve shot execution efficiency and control | Reduce swing execution time for faster response
55.44,34.65,0.55,1920.9959999999999,62.99988545475371,MEDIUM,MEDIUM,MEDIUM,50.02,53.51,-3.49,33.87,47.35,-13.48,1.36,0.38,-0.98,1729.64,2532.58,-802.94,54.32,69.01,-14.69,Improve smash timing and impact force | Improve shot execution efficiency and control | Reduce swing execution time for faster response
54.08,36.42,0.52,1969.5936,70.03832684937144,MEDIUM,MEDIUM,MEDIUM,50.02,53.51,-3.49,33.87,47.35,-13.48,1.36,0.38,-0.98,1729.64,2532.58,-802.94,54.32,69.01,-14.69,Improve smash timing and impact force | Improve shot execution efficiency and control | Reduce swing execution time for faster response
55.44,34.7,1.93,1923.768,17.979265295717465,MEDIUM,MEDIUM,MEDIUM,50.02,53.51,-3.49,33.87,47.35,-13.48,1.36,0.38,-0.98,1729.64,2532.58,-802.94,54.32,69.01,-14.69,Improve smash timing and impact force | Improve shot execution efficiency and control | Reduce swing execution time for faster response
50.25,36.33,0.4,1825.5825,90.82477293806765,MEDIUM,MEDIUM,MEDIUM,50.02,53.51,-3.49,33.87,47.35,-13.48,1.36,0.38,-0.98,1729.64,2532.58,-802.94,54.32,69.01,-14.69,Improve smash timing and impact force | Improve shot execution efficiency and control | Reduce swing execution time for faster response
50.25,41.92,0.74,2106.48,56.6485720965242,MEDIUM,STRONG,MEDIUM,50.02,53.51,-3.49,33.87,47.35,-13.48,1.36,0.38,-0.98,1729.64,2532.58,-802.94,54.32,69.01,-14.69,Improve smash timing and impact force | Improve shot execution efficiency and control | Reduce swing execution time for faster response
