Speed(km/h),Impact(m/s^2),Angle(°),Type
9.78,16.45,4.59,Forehand
7.53,16.45,0.88,Forehand
13.31,19.38,6.28,Forehand
10.86,17.79,0.16,Forehand
13.13,16.68,4.67,Forehand
16.73,22.77,5.53,Forehand
16.44,22.96,9.97,Forehand
14.17,22.93,4.88,Forehand
12.63,22.81,1.74,Forehand
2.58,18.49,0.10,Forehand
11.31,18.89,0.94,Forehand
11.07,18.30,2.26,Forehand
12.97,17.84,5.18,Forehand
12.41,18.36,13.65,Forehand
10.04,19.40,17.03,Forehand
5.30,17.69,13.12,Forehand
5.82,18.36,5.17,Forehand
7.12,19.44,20.79,Forehand
4.03,17.88,12.18,Forehand
11.30,21.37,19.00,Forehand
10.27,17.54,0.72,Forehand
17.98,21.49,20.74,Forehand
15.67,17.77,9.31,Forehand
