speed,impact,duration,new_label,power,efficiency
30.28,24.48,0.42,WEAK,741.2544,58.28557551053451
31.6,23.45,0.34,WEAK,741.02,68.97038538121947
33.27,25.26,0.41,WEAK,840.4002000000002,61.6096058302297
32.0,26.14,0.35,WEAK,836.48,74.68550089856888
34.61,25.77,0.35,WEAK,891.8996999999999,73.62836106182554
31.62,22.3,0.44,WEAK,705.1260000000001,50.68170299612956
31.34,23.98,0.77,WEAK,751.5332,31.14281669764065
36.54,27.61,0.59,WEAK,1008.8693999999999,46.796530853337536
37.44,32.56,0.54,WEAK,1219.0464,60.296184636695116
43.37,34.26,0.45,MEDIUM,1485.8561999999997,76.13316414852412
43.59,28.24,0.4,MEDIUM,1230.9816,70.59982350044125
38.78,26.89,0.97,WEAK,1042.7942,27.721620905545457
40.02,27.95,0.63,WEAK,1118.559,44.365008944430244
33.37,27.86,0.46,WEAK,929.6881999999999,60.56508572807451
32.91,23.05,0.71,WEAK,758.5754999999999,32.464743007404216
32.17,24.56,0.46,WEAK,790.0952,53.391188280025474
34.13,29.95,0.35,WEAK,1022.1935000000001,85.5711840823312
31.52,29.42,0.57,WEAK,927.3184,51.613944536939414
30.94,28.06,0.47,WEAK,868.1764,59.702000634041205
34.27,32.08,0.51,WEAK,1099.3816,62.901837447377545
34.93,28.03,0.53,WEAK,979.0879,52.886692666617606
31.41,23.27,0.8,WEAK,730.9107,29.087463640670446
31.77,23.89,0.52,WEAK,758.9853,45.94221934188588
32.13,25.62,0.64,WEAK,823.1706000000001,40.03118745126961
31.09,25.83,0.42,WEAK,803.0546999999999,61.499853571777216
39.67,37.5,0.59,MEDIUM,1487.625,63.55921430641643
34.31,28.81,0.5,WEAK,988.4711,57.61988476023048
34.42,35.68,0.75,MEDIUM,1228.1056,47.5732699023068
32.78,36.54,0.62,MEDIUM,1197.7812000000001,58.935388813889006
39.71,36.72,0.5,MEDIUM,1458.1512,73.43985312029375
45.99,32.72,0.8,MEDIUM,1504.7928,40.8999488750639
43.1,26.71,0.87,MEDIUM,1151.201,30.701114136650418
43.36,35.65,0.78,MEDIUM,1545.7839999999999,45.70506960888511
49.74,30.69,0.98,MEDIUM,1526.5206,31.316294575209618
42.56,31.85,0.55,WEAK,1355.536,57.908985620026144
48.37,29.19,0.84,MEDIUM,1411.9203,34.74995863100163
49.07,33.26,0.89,MEDIUM,1632.0682,37.370744527253336
45.52,28.87,0.53,MEDIUM,1314.1624000000002,54.471595336612566
37.46,28.9,0.71,WEAK,1082.594,40.70416802229856
38.36,26.3,0.48,WEAK,1008.868,54.79155251759893
49.31,25.72,0.55,MEDIUM,1268.2532,46.76355133899756
33.75,15.67,0.5,WEAK,528.8625,31.339937320125358
34.27,19.24,0.56,WEAK,659.3548,34.35708150521159
37.84,20.41,0.61,WEAK,772.3144000000001,33.458961542686
34.37,20.72,0.47,WEAK,712.1463999999999,44.08501258507961
33.61,19.29,1.33,WEAK,648.3369,14.503748493422185
