timestamp,speed,impact,duration,swing_type
9296,41.65,41.60,0.30,MEDIUM
10804,54.06,43.68,0.52,STRONG
12136,53.48,43.01,0.56,STRONG
13336,54.06,44.12,0.55,STRONG
14525,54.06,43.51,0.61,STRONG
15659,54.06,43.90,0.59,STRONG
16793,54.06,43.93,0.59,STRONG
17927,54.06,44.16,0.50,STRONG
19105,54.06,44.46,0.56,STRONG
20206,54.06,44.60,0.54,STRONG
21362,54.06,43.44,0.55,STRONG
28601,47.44,45.34,0.34,STRONG
29834,54.06,44.61,0.51,STRONG
30924,53.67,44.75,0.53,STRONG
31915,54.06,44.59,0.52,STRONG
32983,53.23,45.63,0.54,STRONG
34029,54.06,42.30,0.48,STRONG
35119,54.06,43.11,0.51,STRONG
36099,54.06,45.38,0.51,STRONG
37145,54.06,42.82,0.56,STRONG
38136,48.87,43.21,0.58,STRONG
39083,48.22,43.31,0.54,STRONG
41648,51.05,43.00,0.55,MEDIUM
42265,13.06,16.92,0.21,WEAK
42893,26.76,27.99,0.22,WEAK
44115,53.47,43.78,0.57,STRONG
45183,49.20,43.06,0.61,STRONG
46339,52.74,44.54,0.63,STRONG
47341,44.94,44.88,0.44,STRONG
48453,54.06,43.90,0.37,STRONG
49521,50.42,43.88,0.37,STRONG
50798,49.55,43.15,0.62,STRONG
51822,53.68,45.54,0.53,STRONG
52681,47.91,43.63,0.43,STRONG
53683,46.76,43.66,0.36,STRONG
54740,51.05,44.01,0.36,STRONG
56006,50.42,42.10,0.76,MEDIUM
56986,50.42,42.03,0.57,MEDIUM
57955,54.01,45.52,0.52,STRONG
58803,50.42,43.25,0.37,STRONG
61114,48.24,41.17,0.51,MEDIUM
62127,51.41,42.82,0.50,MEDIUM
62920,54.06,44.42,0.37,STRONG
64065,48.12,43.80,0.51,STRONG
70754,27.17,23.44,5.45,WEAK
72691,47.26,42.35,0.34,MEDIUM
75101,41.69,41.45,0.35,MEDIUM
76202,50.55,43.46,0.36,STRONG
77908,54.06,43.23,0.37,STRONG
78888,47.29,43.31,0.36,STRONG
79769,49.25,42.18,0.36,MEDIUM
80771,49.31,45.79,0.37,STRONG
93249,48.90,43.65,0.47,STRONG
94218,47.60,44.08,0.48,STRONG
95143,49.75,41.82,0.51,MEDIUM
96860,54.06,45.64,1.31,STRONG
97763,49.55,42.87,0.37,MEDIUM
98842,54.06,41.97,0.54,STRONG
99789,52.51,41.96,0.54,STRONG
100835,48.63,40.97,0.38,MEDIUM
101859,52.41,41.84,0.40,STRONG
123596,22.16,16.91,20.49,WEAK
127491,51.76,43.01,0.36,STRONG
128614,44.10,42.32,0.38,MEDIUM
129902,44.34,42.46,0.37,MEDIUM
131102,21.10,17.11,0.21,WEAK
136878,48.79,44.32,0.37,STRONG
137957,46.68,43.84,0.40,STRONG
142600,41.36,40.71,0.38,MEDIUM
143987,45.31,42.92,0.40,MEDIUM
151691,44.95,43.04,0.36,STRONG
152759,44.77,41.19,0.40,MEDIUM
153728,52.25,42.14,0.40,STRONG
154763,51.19,42.46,0.43,MEDIUM
155897,51.30,41.46,0.42,MEDIUM
164478,33.46,24.31,6.99,WEAK
166679,53.40,41.72,0.37,STRONG
167648,49.08,41.99,0.38,MEDIUM
174295,45.95,44.25,0.56,STRONG
176067,46.86,42.47,0.57,MEDIUM
177234,48.32,43.34,0.42,STRONG
