timestamp,ax,ay,az,gx,gy,gz,speed,impact,duration
35326,-0.16,-0.43,0.47,38.21,3.56,-1.16,23.47,26.87,0.20
41181,-0.12,0.66,0.16,158.46,-49.93,47.95,51.57,33.48,0.75
43459,-0.05,0.62,-0.07,137.49,66.45,27.52,43.40,36.38,0.78
45530,-0.08,0.69,0.28,109.62,68.07,-15.05,51.41,37.54,0.71
47516,-0.08,0.63,-0.06,39.17,-64.39,-0.84,51.41,37.65,0.69
49753,0.33,0.46,-0.46,25.00,-1.74,-33.58,44.75,29.23,0.47
52096,0.16,-0.10,-0.51,-8.87,-10.54,-35.69,42.60,29.12,0.47
54212,0.16,0.22,-0.38,110.41,-94.01,12.41,41.85,29.79,0.34
56207,0.26,0.00,-0.46,117.70,-108.17,14.25,41.29,31.86,0.37
59295,-0.65,0.28,0.26,55.06,-2.72,-26.04,51.57,41.14,0.98
61572,0.09,0.57,-0.38,64.87,-77.17,39.72,51.74,41.68,0.50
64478,-0.64,0.28,0.02,161.86,-3.28,4.25,51.74,41.83,1.09
66724,-0.50,0.46,0.00,137.91,61.70,17.14,51.41,39.89,0.92
69486,-0.07,0.63,-0.09,114.17,-19.56,-17.30,43.99,29.94,0.54
72188,0.60,-0.03,0.23,81.25,-24.11,11.45,49.75,36.71,0.54
74782,0.46,0.05,-0.26,34.34,-151.25,66.42,51.57,40.59,0.67
77640,0.22,0.26,-0.45,-16.67,-45.04,-10.33,44.14,34.66,0.47
82232,0.28,0.42,-0.28,145.35,-114.36,25.05,51.57,32.15,0.48
84638,0.46,-0.04,-0.17,75.64,-28.80,26.05,41.76,34.30,0.49
87483,0.18,0.15,-0.48,85.91,-87.59,-6.67,45.73,32.22,0.40
90076,-0.53,-0.46,0.27,89.25,-72.13,-44.74,35.30,31.07,0.37
92644,0.23,0.32,0.69,-60.99,15.86,-15.62,32.19,26.67,0.60
94923,0.29,0.19,0.51,-49.07,56.62,-15.01,35.96,29.25,0.38
97032,0.22,0.24,0.40,-88.76,-28.95,-43.29,34.86,24.58,0.65
98895,0.24,0.20,0.25,-55.47,16.38,-1.13,33.53,29.78,0.40
100212,-0.66,-0.13,0.94,174.49,43.18,-177.32,32.70,15.58,0.51
101249,-0.12,0.31,-0.35,58.33,-114.72,31.10,36.54,33.40,0.45
104608,-0.54,0.36,0.04,223.68,112.36,-46.05,51.69,40.17,0.99
107307,-0.36,0.57,-0.51,117.02,13.12,-22.49,51.74,40.88,0.67

