timestamp,speed,impact,duration,swing_type
7074,49.55,41.82,0.52,MEDIUM
8395,49.54,41.71,0.35,MEDIUM
9694,49.13,41.76,0.36,MEDIUM
10916,40.30,40.75,0.34,WEAK
13217,45.29,44.12,0.36,MEDIUM
14494,45.36,45.82,0.36,MEDIUM
15617,49.55,43.67,0.43,MEDIUM
16531,54.55,43.45,0.40,STRONG
20670,46.84,46.56,0.34,MEDIUM
21914,44.63,42.54,0.33,MEDIUM
23268,41.50,42.35,0.35,WEAK
24567,46.62,40.62,0.40,MEDIUM
25800,37.03,40.96,0.31,WEAK
27176,45.07,42.20,0.38,MEDIUM
28420,40.73,41.45,0.40,WEAK
29730,46.10,43.13,0.40,MEDIUM
31073,43.03,42.41,0.35,WEAK
32262,42.95,42.16,0.36,WEAK
33484,46.06,46.04,0.43,MEDIUM
34618,39.58,43.42,0.38,WEAK
35884,46.46,45.90,0.42,MEDIUM
37172,48.49,41.19,0.37,MEDIUM
38460,49.55,43.89,0.46,MEDIUM
39594,40.07,42.67,0.46,WEAK
40684,44.37,43.36,0.38,MEDIUM
41818,39.08,41.93,0.42,WEAK
42996,45.17,44.24,0.38,MEDIUM
44163,45.85,44.05,0.41,MEDIUM
45242,41.91,45.38,0.35,WEAK
46497,42.82,41.12,0.54,WEAK
49503,45.83,43.62,0.57,MEDIUM
50483,45.32,43.57,0.35,MEDIUM
51617,49.46,45.02,0.37,MEDIUM
52696,45.10,42.85,0.45,MEDIUM
53775,47.76,45.27,0.44,MEDIUM
54755,44.49,44.69,0.48,MEDIUM
55735,49.71,39.04,0.42,MEDIUM
56704,47.38,42.93,0.43,MEDIUM
57706,46.93,46.07,0.42,MEDIUM
58763,42.60,45.64,0.37,WEAK
59787,48.41,44.45,0.35,MEDIUM
60778,45.66,44.18,0.35,MEDIUM
61802,49.55,40.65,0.36,MEDIUM
62760,45.18,42.83,0.40,MEDIUM
63751,45.18,44.54,0.41,MEDIUM
64709,44.49,40.57,0.37,MEDIUM
65810,45.05,43.14,0.38,MEDIUM
66823,42.30,41.59,0.38,WEAK
67880,46.79,45.04,0.34,MEDIUM
68915,46.53,44.15,0.40,MEDIUM
69917,46.35,42.68,0.36,MEDIUM
70886,40.31,42.65,0.38,WEAK
71910,46.88,44.74,0.36,MEDIUM
73011,45.64,46.15,0.36,MEDIUM
74046,45.80,44.74,0.36,MEDIUM
75147,49.55,45.71,0.43,MEDIUM
76215,49.55,42.25,0.51,MEDIUM
77173,54.55,42.53,0.55,STRONG
78340,49.55,45.56,0.47,MEDIUM
79408,49.55,44.53,0.44,MEDIUM
80465,48.54,42.69,0.46,MEDIUM
81577,47.88,42.32,0.61,MEDIUM
82755,42.90,44.03,0.53,WEAK
83680,48.13,42.07,0.38,MEDIUM
84550,20.68,21.30,0.21,WEAK
85277,45.27,41.58,0.32,MEDIUM
86631,48.27,43.81,0.44,MEDIUM
87798,49.55,43.48,0.50,MEDIUM
88976,43.81,44.22,0.47,WEAK
90088,49.55,42.97,0.41,MEDIUM
91079,49.55,41.96,0.58,MEDIUM
92477,54.13,44.44,0.57,STRONG
93732,43.09,39.12,0.51,WEAK
94954,45.59,42.67,0.50,MEDIUM
96242,48.45,42.32,0.48,MEDIUM
97508,45.65,42.26,0.56,MEDIUM
98763,49.55,44.29,0.36,MEDIUM
99974,45.15,45.74,0.43,MEDIUM
101097,42.92,45.34,0.37,WEAK
102330,44.63,44.77,0.35,MEDIUM
103486,44.89,41.20,0.41,MEDIUM
104576,34.81,42.04,0.38,WEAK
111434,48.84,44.13,0.36,MEDIUM
112667,45.16,40.75,0.36,MEDIUM
113768,49.55,43.98,0.42,MEDIUM
114858,49.55,44.26,0.41,MEDIUM
115981,49.55,44.82,0.42,MEDIUM
117082,43.60,42.10,0.46,WEAK
118216,49.55,41.95,0.41,MEDIUM
