timestamp,speed,impact,duration,swing_type,new_label
6623,30.28,24.48,0.42,WEAK,WEAK
8362,31.6,23.45,0.34,WEAK,WEAK
10035,33.27,25.26,0.41,WEAK,WEAK
11664,32.0,26.14,0.35,WEAK,WEAK
13293,34.61,25.77,0.35,WEAK,WEAK
15054,31.62,22.3,0.44,WEAK,WEAK
17002,31.34,23.98,0.77,WEAK,WEAK
18488,36.54,27.61,0.59,WEAK,WEAK
19908,37.44,32.56,0.54,WEAK,WEAK
21284,43.37,34.26,0.45,WEAK,MEDIUM
22671,43.59,28.24,0.4,WEAK,MEDIUM
24597,38.78,26.89,0.97,WEAK,WEAK
25698,40.02,27.95,0.63,WEAK,WEAK
26975,33.37,27.86,0.46,WEAK,WEAK
28835,32.91,23.05,0.71,WEAK,WEAK
30145,32.17,24.56,0.46,WEAK,WEAK
31631,34.13,29.95,0.35,WEAK,WEAK
33414,31.52,29.42,0.57,WEAK,WEAK
34746,30.94,28.06,0.47,WEAK,WEAK
36166,34.27,32.08,0.51,WEAK,WEAK
37674,34.93,28.03,0.53,WEAK,WEAK
39468,31.41,23.27,0.8,WEAK,WEAK
40767,31.77,23.89,0.52,WEAK,WEAK
42484,32.13,25.62,0.64,WEAK,WEAK
43970,31.09,25.83,0.42,WEAK,WEAK
45764,39.67,37.5,0.59,WEAK,MEDIUM
47305,34.31,28.81,0.5,WEAK,WEAK
48813,34.42,35.68,0.75,WEAK,MEDIUM
50541,32.78,36.54,0.62,WEAK,MEDIUM
51906,39.71,36.72,0.5,WEAK,MEDIUM
53634,45.99,32.72,0.8,MEDIUM,MEDIUM
55307,43.1,26.71,0.87,WEAK,MEDIUM
56749,43.36,35.65,0.78,WEAK,MEDIUM
58455,49.74,30.69,0.98,MEDIUM,MEDIUM
60128,42.56,31.85,0.55,WEAK,WEAK
61680,48.37,29.19,0.84,MEDIUM,MEDIUM
63232,49.07,33.26,0.89,MEDIUM,MEDIUM
64619,45.52,28.87,0.53,MEDIUM,MEDIUM
66105,37.46,28.9,0.71,WEAK,WEAK
67734,38.36,26.3,0.48,WEAK,WEAK
69330,49.31,25.72,0.55,MEDIUM,MEDIUM
71190,33.75,15.67,0.5,WEAK,WEAK
73006,34.27,19.24,0.56,WEAK,WEAK
74833,37.84,20.41,0.61,WEAK,WEAK
76605,34.37,20.72,0.47,WEAK,WEAK
79048,33.61,19.29,1.33,WEAK,WEAK
83119,32.93,21.06,0.56,WEAK,WEAK
84814,32.86,20.94,0.42,WEAK,WEAK
86894,40.92,24.16,0.8,WEAK,WEAK
88259,35.38,26.9,0.66,WEAK,WEAK
90339,32.55,20.49,1.0,WEAK,WEAK
92331,38.28,28.79,1.15,WEAK,WEAK
93432,40.29,27.78,0.47,WEAK,WEAK
95138,31.62,28.94,0.51,WEAK,WEAK
96624,37.59,23.12,0.35,WEAK,WEAK
98330,43.06,25.79,0.73,WEAK,MEDIUM
100047,36.75,28.78,0.64,WEAK,WEAK
101742,41.94,37.97,0.55,WEAK,MEDIUM
102986,33.38,29.56,0.21,WEAK,WEAK
104956,32.51,38.92,0.31,WEAK,MEDIUM
106409,49.56,35.49,0.58,MEDIUM,MEDIUM
108357,51.69,26.86,0.55,MEDIUM,MEDIUM
110118,42.36,25.13,0.46,WEAK,WEAK
111879,34.89,28.27,0.42,WEAK,WEAK
113618,31.27,30.68,0.42,WEAK,WEAK
115137,47.43,30.74,0.44,MEDIUM,MEDIUM
116986,38.47,22.54,0.51,WEAK,WEAK
119682,43.84,25.01,1.24,WEAK,MEDIUM
120871,40.66,22.46,0.46,WEAK,WEAK
122995,31.58,26.9,0.98,WEAK,WEAK
124800,33.0,27.96,0.85,WEAK,WEAK
126748,30.71,25.57,0.85,WEAK,WEAK
128509,32.96,24.33,0.79,WEAK,WEAK
129753,50.16,29.67,0.37,MEDIUM,MEDIUM
131580,44.91,27.21,0.56,MEDIUM,MEDIUM
133297,35.49,20.21,0.53,WEAK,WEAK
135036,43.28,23.0,0.48,WEAK,MEDIUM
136577,43.45,23.98,0.5,WEAK,MEDIUM
138195,45.7,23.73,0.48,MEDIUM,MEDIUM
139758,44.56,23.08,0.45,MEDIUM,MEDIUM
141332,45.85,22.77,0.5,MEDIUM,MEDIUM
