speed,impact,duration,power,efficiency,ml_prediction,rule_prediction
55.44,33.49,0.44,1856.6856,76.11346337849233,MEDIUM,MEDIUM
54.35,33.79,0.51,1836.4865,66.25477204946657,MEDIUM,MEDIUM
55.44,35.4,0.52,1962.5759999999998,68.07679216001507,MEDIUM,MEDIUM
55.44,37.42,0.48,2074.5648,77.95817092047726,MEDIUM,STRONG
55.4,36.86,0.58,2042.0439999999999,63.55161456618178,MEDIUM,STRONG
55.44,34.65,0.55,1920.9959999999999,62.99988545475371,MEDIUM,MEDIUM
54.08,36.42,0.52,1969.5936,70.03832684937144,MEDIUM,MEDIUM
55.44,34.7,1.93,1923.768,17.979265295717465,MEDIUM,MEDIUM
50.25,36.33,0.4,1825.5825,90.82477293806765,MEDIUM,MEDIUM
50.25,41.92,0.74,2106.48,56.6485720965242,MEDIUM,STRONG
50.25,43.82,0.92,2201.955,47.630383010453244,STRONG,STRONG
50.25,42.36,0.94,2128.59,45.06378184704059,MEDIUM,STRONG
50.25,37.56,1.13,1887.39,33.23890863813396,MEDIUM,MEDIUM
50.29,44.95,8.05,2260.5355,5.583850238031027,STRONG,STRONG
50.29,44.11,0.5,2218.2918999999997,88.21982356035288,STRONG,STRONG
55.44,38.34,1.88,2125.5696000000003,20.39360617361374,MEDIUM,STRONG
55.44,34.9,23.62,1934.8559999999998,1.4775613260981655,MEDIUM,MEDIUM
54.15,34.16,0.6,1849.7639999999997,56.93323844460259,MEDIUM,MEDIUM
55.44,36.95,0.54,2048.5080000000003,68.42579921148294,MEDIUM,STRONG
55.44,39.4,0.54,2184.336,72.96282784661508,STRONG,STRONG
37.51,22.53,0.34,845.1003,66.26451098673239,WEAK,WEAK
40.19,27.22,0.53,1093.9717999999998,51.35839366340817,WEAK,WEAK
34.63,15.9,1.02,550.6170000000001,15.58822001154901,WEAK,WEAK
36.2,17.58,0.36,636.396,48.833197685561984,WEAK,WEAK
36.93,20.28,0.41,748.9404000000001,49.463293991965884,WEAK,WEAK
37.89,22.2,0.46,841.158,48.260764650511625,WEAK,WEAK
36.6,25.16,0.38,920.856,66.21035207802085,WEAK,WEAK
55.35,37.35,0.81,2067.3225,46.111054183883724,MEDIUM,STRONG
54.08,30.12,1.83,1628.8896,16.459007399449508,MEDIUM,WEAK
48.5,32.52,1.17,1577.2200000000003,27.794848038591425,MEDIUM,WEAK
50.25,33.57,0.42,1686.8925,79.9283811229021,MEDIUM,MEDIUM
54.08,35.88,0.56,1940.3904,64.07131415836757,MEDIUM,MEDIUM
42.28,30.15,0.55,1274.742,54.818082148941535,WEAK,WEAK
46.07,31.64,0.36,1457.6548,87.88864475376458,MEDIUM,WEAK
48.97,33.57,0.32,1643.9229,104.90592216899323,MEDIUM,MEDIUM
55.44,36.65,3.59,2031.8759999999997,10.208910805317323,MEDIUM,STRONG
43.22,33.7,0.5,1456.5140000000001,67.3998652002696,MEDIUM,WEAK
47.84,36.14,0.54,1728.9376000000002,66.92580198925558,MEDIUM,MEDIUM
55.44,36.94,2.82,2047.9535999999998,13.099286135004917,MEDIUM,STRONG
47.26,35.22,0.51,1664.4971999999998,69.05868812021936,MEDIUM,MEDIUM
50.09,32.51,0.54,1628.4259,60.20359221556996,MEDIUM,WEAK
55.44,36.98,0.96,2050.1711999999998,38.520793207507076,MEDIUM,STRONG
55.44,37.13,0.48,2058.4872,77.35400551248853,MEDIUM,STRONG
55.44,35.23,0.63,1953.1511999999998,55.920546157863235,MEDIUM,MEDIUM
55.44,35.16,0.85,1949.2703999999997,41.364657218050326,MEDIUM,MEDIUM
55.44,34.76,0.54,1927.0943999999997,64.37025116620153,MEDIUM,MEDIUM
55.44,36.91,0.52,2046.2903999999996,70.98063272955243,MEDIUM,STRONG
55.44,35.17,0.51,1949.8248,68.96064909676647,MEDIUM,MEDIUM
42.15,31.46,0.9,1326.039,34.95551671609254,MEDIUM,WEAK
55.4,38.4,0.43,2127.3599999999997,89.30211790205139,STRONG,STRONG
55.4,39.88,0.89,2209.352,44.80893841692313,STRONG,STRONG
32.46,15.82,0.48,513.5172,32.95826467028194,WEAK,WEAK
