timestamp,ax,ay,az,gx,gy,gz,speed,impact,duration,power,efficiency,acc_mag,gyro_mag,peak_acc,peak_gyro,energy,ml_swing,stroke_type,final_prediction
53759,0.05,0.08,-2.25,71.43,7.32,-44.44,48.81,35.93,0.42,1753.7433,85.54741536329676,48.81,35.93,58.572,39.523,736.572186,MEDIUM,DRIVE,MEDIUM
60088,0.31,0.41,-1.82,161.31,-144.54,-18.16,53.16,38.69,0.36,2056.7603999999997,107.47192368910088,53.16,38.69,63.791999999999994,42.559,740.4337439999998,STRONG,SMASH,STRONG
61947,-0.25,0.5,-1.68,208.79,-162.54,-3.58,50.55,38.0,0.43,1920.8999999999999,88.37188750723836,50.55,38.0,60.66,41.800000000000004,825.987,MEDIUM,SMASH,MEDIUM
63432,0.44,0.39,-0.9,126.7,-118.98,-11.33,46.72,41.67,0.37,1946.8224,112.62131723968315,46.72,41.67,56.064,45.837,720.324288,MEDIUM,SMASH,MEDIUM
65003,-0.22,-0.13,-2.3,65.71,-119.79,29.06,50.55,36.91,0.42,1865.8004999999998,87.88074314108776,50.55,36.91,60.66,40.601,783.6362099999999,MEDIUM,SMASH,MEDIUM
70198,0.19,0.61,-1.2,161.74,-87.79,-0.56,53.16,37.89,0.98,2014.2323999999999,38.663225853851166,53.16,37.89,63.791999999999994,41.679,1973.9477519999998,MEDIUM,SMASH,MEDIUM
71715,-0.38,-0.39,-1.77,84.3,-100.77,-39.85,53.16,37.17,0.46,1975.9572,80.80417216484312,53.16,37.17,63.791999999999994,40.88700000000001,908.9403120000001,MEDIUM,SMASH,MEDIUM
77009,0.0,0.1,-2.16,69.44,-73.02,-18.92,53.16,37.59,0.44,1998.2844,85.43162401903633,53.16,37.59,63.791999999999994,41.349000000000004,879.245136,MEDIUM,SMASH,MEDIUM
78581,-0.56,-0.06,-1.89,38.55,-105.16,-22.09,53.16,38.99,0.48,2072.7084,81.22899743958868,53.16,38.99,63.791999999999994,42.889,994.900032,MEDIUM,SMASH,STRONG
80996,0.44,0.51,-1.96,72.53,10.54,-16.19,51.8,38.24,0.55,1980.832,69.52714631427942,51.8,38.24,62.16,42.06400000000001,1089.4576000000002,MEDIUM,SMASH,MEDIUM
82203,-0.41,0.29,-0.99,188.78,-69.78,187.99,53.16,34.54,0.4,1836.1463999999999,86.34978412553968,53.16,34.54,63.791999999999994,37.994,734.45856,MEDIUM,SMASH,MEDIUM
84261,-0.18,0.32,-2.18,33.97,-209.0,-20.45,47.69,37.31,0.52,1779.3139,71.74986201949612,47.69,37.31,57.227999999999994,41.041000000000004,925.243228,MEDIUM,SMASH,MEDIUM
86425,0.17,0.31,-2.06,91.74,-99.36,-26.71,51.53,36.49,0.47,1880.3297000000002,77.63813268482409,51.53,36.49,61.836,40.139,883.7549590000001,MEDIUM,SMASH,MEDIUM
88091,-0.6,-0.09,-1.43,118.78,-78.62,46.34,50.55,38.73,0.35,1957.8014999999998,110.65682669478088,50.55,38.73,60.66,42.603,685.230525,MEDIUM,SMASH,MEDIUM
90030,0.7,0.05,-1.52,103.45,-83.92,92.8,51.8,38.88,0.83,2013.984,46.843317056244516,51.8,38.88,62.16,42.76800000000001,1671.6067199999998,MEDIUM,CLEAR,MEDIUM
93484,-0.05,-0.63,0.25,9.15,11.71,21.3,42.8,33.0,2.22,1412.3999999999999,14.864858168982805,42.8,33.0,51.35999999999999,36.300000000000004,3135.528,MEDIUM,DROP,WEAK
94253,0.1,0.13,-2.51,19.93,-54.66,14.44,34.04,31.58,0.37,1074.9832,85.35112067264683,34.04,31.58,40.848,34.738,397.74378399999995,WEAK,CLEAR,WEAK
96036,0.22,-0.51,-1.09,-93.55,-23.23,-13.13,35.71,26.52,0.44,947.0292000000001,60.272590289567525,35.71,26.52,42.852,29.172,416.692848,WEAK,DROP,WEAK
97744,-0.01,0.07,-1.12,-157.59,-20.25,-109.27,34.68,18.07,0.45,626.6676,40.155466321185955,34.68,18.07,41.616,19.877000000000002,282.00042,WEAK,CLEAR,WEAK
99553,0.26,-0.06,-1.1,-149.36,-9.29,-52.41,35.01,19.9,0.35,696.699,56.85698040862741,35.01,19.9,42.01199999999999,21.89,243.84464999999997,WEAK,CLEAR,WEAK
104727,-0.16,-0.6,-1.77,13.16,-58.17,5.09,32.25,20.16,0.24,650.16,83.99965000145833,32.25,20.16,38.699999999999996,22.176000000000002,156.0384,WEAK,DROP,WEAK
106726,-0.18,-0.68,-0.02,-175.51,-20.06,3.98,21.2,16.8,1.35,356.16,12.444435226344277,21.2,16.8,25.439999999999998,18.480000000000004,480.8160000000001,WEAK,DROP,WEAK
110148,0.46,0.18,-2.34,6.9,-70.5,9.48,39.98,33.12,0.55,1324.1375999999998,60.21807233077757,39.98,33.12,47.97599999999999,36.432,728.27568,MEDIUM,CLEAR,WEAK
112394,0.34,-0.09,-2.2,-23.07,-7.94,-31.03,46.81,34.28,0.48,1604.6468000000002,71.41651788225442,46.81,34.28,56.172000000000004,37.708000000000006,770.2304640000001,MEDIUM,DROP,MEDIUM
