speed,impact,duration,power,efficiency,ml_prediction,rule_prediction,final_prediction,player_avg_speed,pro_avg_speed,gap_speed,player_avg_impact,pro_avg_impact,gap_impact,player_avg_duration,pro_avg_duration,gap_duration,player_avg_power,pro_avg_power,gap_power,player_avg_efficiency,pro_avg_efficiency,gap_efficiency,improvement_suggestions
55.44,33.49,0.44,1856.6856,76.11346338,MEDIUM,MEDIUM,MEDIUM,50.02,53.36,-3.34,33.87,47.32,-13.45,1.36,0.38,-0.98,1729.64,2524.83,-795.19,54.32,68.97,-14.65,Improve smash timing and impact force | Improve shot execution efficiency and control | Reduce swing execution time for faster response
54.35,33.79,0.51,1836.4865,66.25477205,MEDIUM,MEDIUM,MEDIUM,50.02,53.36,-3.34,33.87,47.32,-13.45,1.36,0.38,-0.98,1729.64,2524.83,-795.19,54.32,68.97,-14.65,Improve smash timing and impact force | Improve shot execution efficiency and control | Reduce swing execution time for faster response
55.44,35.4,0.52,1962.576,68.07679216,MEDIUM,MEDIUM,MEDIUM,50.02,53.36,-3.34,33.87,47.32,-13.45,1.36,0.38,-0.98,1729.64,2524.83,-795.19,54.32,68.97,-14.65,Improve smash timing and impact force | Improve shot execution efficiency and control | Reduce swing execution time for faster response
55.44,37.42,0.48,2074.5648,77.95817092,MEDIUM,STRONG,MEDIUM,50.02,53.36,-3.34,33.87,47.32,-13.45,1.36,0.38,-0.98,1729.64,2524.83,-795.19,54.32,68.97,-14.65,Improve smash timing and impact force | Improve shot execution efficiency and control | Reduce swing execution time for faster response
55.4,36.86,0.58,2042.044,63.55161457,MEDIUM,STRONG,MEDIUM,50.02,53.36,-3.34,33.87,47.32,-13.45,1.36,0.38,-0.98,1729.64,2524.83,-795.19,54.32,68.97,-14.65,Improve smash timing and impact force | Improve shot execution efficiency and control | Reduce swing execution time for faster response
55.44,34.65,0.55,1920.996,62.99988545,MEDIUM,MEDIUM,MEDIUM,50.02,53.36,-3.34,33.87,47.32,-13.45,1.36,0.38,-0.98,1729.64,2524.83,-795.19,54.32,68.97,-14.65,Improve smash timing and impact force | Improve shot execution efficiency and control | Reduce swing execution time for faster response
54.08,36.42,0.52,1969.5936,70.03832685,MEDIUM,MEDIUM,MEDIUM,50.02,53.36,-3.34,33.87,47.32,-13.45,1.36,0.38,-0.98,1729.64,2524.83,-795.19,54.32,68.97,-14.65,Improve smash timing and impact force | Improve shot execution efficiency and control | Reduce swing execution time for faster response
55.44,34.7,1.93,1923.768,17.9792653,MEDIUM,MEDIUM,MEDIUM,50.02,53.36,-3.34,33.87,47.32,-13.45,1.36,0.38,-0.98,1729.64,2524.83,-795.19,54.32,68.97,-14.65,Improve smash timing and impact force | Improve shot execution efficiency and control | Reduce swing execution time for faster response
50.25,36.33,0.4,1825.5825,90.82477294,MEDIUM,MEDIUM,MEDIUM,50.02,53.36,-3.34,33.87,47.32,-13.45,1.36,0.38,-0.98,1729.64,2524.83,-795.19,54.32,68.97,-14.65,Improve smash timing and impact force | Improve shot execution efficiency and control | Reduce swing execution time for faster response
50.25,41.92,0.74,2106.48,56.6485721,MEDIUM,STRONG,MEDIUM,50.02,53.36,-3.34,33.87,47.32,-13.45,1.36,0.38,-0.98,1729.64,2524.83,-795.19,54.32,68.97,-14.65,Improve smash timing and impact force | Improve shot execution efficiency and control | Reduce swing execution time for faster response
50.25,43.82,0.92,2201.955,47.63038301,STRONG,STRONG,STRONG,50.02,53.36,-3.34,33.87,47.32,-13.45,1.36,0.38,-0.98,1729.64,2524.83,-795.19,54.32,68.97,-14.65,Improve smash timing and impact force | Improve shot execution efficiency and control | Reduce swing execution time for faster response
